ut,n_cits,depth,dependence,pub_year
000233462900010,2923,5.930892918,0.059527882,2005
000246554000049,798,2.13283208,0.368421053,2007
000240477000010,649,4.468412943,1.194144838,2006
000252822600003,583,1.399656947,0.032590051,2008
000310280300027,569,1.924428822,0.910369069,2012
000220823000004,535,1.512149533,1.414953271,2004
000222631200031,526,1.441064639,0.271863118,2004
000278695500019,497,1.609657948,0.786720322,2010
000232598300002,443,2.239277652,1.69751693,2005
000249504000018,435,1.533333333,0.052873563,2007
000234932600008,423,2.245862884,0.794326241,2006
000250741100015,411,2.941605839,1.406326034,2007
000258733400004,399,1.473684211,1.691729323,2008
000248485000001,384,1.940104167,0.6171875,2007
000251525800008,373,3.335120643,2.053619303,2007
000228810900051,338,1.769230769,1.363905325,2005
000260981800020,312,3.775641026,2.189102564,2008
000325126100042,309,1.090614887,0,2013
000233960500009,308,1.243506494,1.844155844,2005
000180407200001,305,0.88852459,0.278688525,2002
000231158100006,304,3.233552632,1.190789474,2005
000168982500016,303,2.491749175,0,2001
000238261900010,303,4.574257426,1.528052805,2006
000227847200004,301,1.677740864,1.504983389,2004
000179918000006,300,1.776666667,1.913333333,2003
000176002200027,296,1.85472973,0.283783784,2002
000169909700005,290,2.510344828,0.603448276,2001
000227040500008,282,2.170212766,0.606382979,2005
000222071100004,277,2.534296029,1.801444043,2004
000180784300008,266,0.785714286,0.612781955,2003
000287580400020,266,2.022556391,1.597744361,2011
000246677400020,259,4.644787645,3.359073359,2007
000264899300007,254,1.649606299,1.271653543,2009
000269616200027,253,1.260869565,0.976284585,2009
000319733000101,252,3.821428571,1.817460317,2013
000174552900002,248,1.830645161,2.584677419,2002
000234603700007,247,2.036437247,1.319838057,2006
000240477000013,247,3.056680162,1.538461538,2006
000269075100001,247,2.234817814,5.95951417,2009
000229120600023,243,0.872427984,0.567901235,2005
000236671000013,243,0.543209877,0.843621399,2006
000223877300002,240,2.758333333,2.720833333,2004
000235578500006,238,2.281512605,0.710084034,2006
000239601400010,237,4.426160338,1.447257384,2006
000263136200011,234,2.854700855,2.025641026,2009
000280274400003,234,0.286324786,0.286324786,2010
000252808500006,229,2.218340611,2.030567686,2008
000174407200002,227,1.876651982,0.740088106,2002
000261033400046,227,1.374449339,0.964757709,2008
000181925300007,226,3.075221239,0.946902655,2003
000237966900005,222,2.184684685,0.752252252,2006
000247907100012,220,2.863636364,0.554545455,2007
000278543600007,219,2.557077626,1.493150685,2010
000271989600009,218,2.123853211,1.935779817,2009
000253550400014,213,3.244131455,3.915492958,2008
000231332600011,207,1.54589372,0.608695652,2005
000229444500024,204,2.965686275,1.62254902,2005
000084641800003,202,2.975247525,1.193069307,2000
000228568200005,201,1.114427861,1.184079602,2005
000208907300004,198,2.03030303,1.616161616,2003
000232598300003,198,1.282828283,0.439393939,2005
000222501800013,197,1.563451777,0.654822335,2004
000247578600016,197,3.426395939,3.700507614,2007
000242672200013,195,3.502564103,1.641025641,2006
000220823000020,192,2.041666667,0.442708333,2004
000267465900001,192,0.947916667,0.973958333,2009
000220004200009,191,3.361256545,0.031413613,2004
000172846700002,188,1.829787234,0.654255319,2001
000245243100003,188,1.175531915,0.218085106,2007
000285626000002,187,1.513368984,3.005347594,2011
000168426400005,186,1.569892473,1.005376344,2001
